"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"GM4759" 7.27970983472392e-08 0.723960259689548 0.111 0.02 0.00141961621486951 "7" "GM4759"
"IQGAP11" 8.20833450057121e-08 0.839433721264731 0.341 0.21 0.00160070731095639 "7" "IQGAP1"
"RTP41" 8.69773205616203e-08 0.612275779883769 0.238 0.105 0.00169614472827216 "7" "RTP4"
"CALM12" 9.0173374052869e-08 0.38401701154561 0.841 0.718 0.001758470967405 "7" "CALM1"
"RPS15A.PS52" 9.20219863519633e-08 0.685589497307339 0.373 0.214 0.00179452075584964 "7" "RPS15A.PS5"
"GM58352" 9.39135482983627e-08 0.679417877751454 0.373 0.246 0.00183140810536637 "7" "GM5835"
"TAP1" 9.51796952525885e-08 0.486555833374404 0.183 0.05 0.00185609923712073 "7" "TAP1"
"IL2RG1" 1.06163573174385e-07 0.787913988172116 0.183 0.07 0.00207029584047368 "7" "IL2RG"
"SKAP22" 1.09495173130216e-07 0.44221397401182 0.333 0.154 0.00213526537121234 "7" "SKAP2"
"GBP31" 1.15666957912999e-07 0.742921509412563 0.27 0.111 0.0022556213462614 "7" "GBP3"
"RPL62" 1.1648583303951e-07 0.564581625024367 0.563 0.361 0.00227159023010349 "7" "RPL6"
"MSRB11" 1.25554862135884e-07 0.621058370506849 0.214 0.083 0.00244844536651187 "7" "MSRB1"
"H2.Q7" 1.27562024591667e-07 0.579756506461498 0.151 0.04 0.0024875870415621 "7" "H2.Q7"
"CD69" 1.38535432751422e-07 0.555979932095893 0.111 0.02 0.00270157947408547 "7" "CD69"
"GMFG1" 1.44926623361262e-07 0.571099278688318 0.198 0.064 0.00282621408216797 "7" "GMFG"
"GM86062" 1.4530300562968e-07 0.72573141460114 0.246 0.121 0.0028335539127844 "7" "GM8606"
"DDX60" 1.55264396141265e-07 0.722868654223514 0.183 0.076 0.00302781098915081 "7" "DDX60"
"RPS10.PS12" 1.61058675488603e-07 0.573520184145921 0.452 0.315 0.00314080523070325 "7" "RPS10.PS1"
"NFKB21" 1.61720402954856e-07 0.656747838777446 0.151 0.05 0.00315370957802265 "7" "NFKB2"
"GM26740" 1.6697274574149e-07 0.518800886764498 0.103 0.017 0.0032561355147048 "7" "GM26740"
"SEPT12" 1.69116890671493e-07 0.722646151918214 0.111 0.022 0.00329794848498478 "7" "SEPT1"
"H3F3B3" 2.08475860661875e-07 0.528130436452205 0.611 0.514 0.00406548775876722 "7" "H3F3B"
"DOCK82" 2.18214802963328e-07 0.325961371569344 0.262 0.112 0.00425540687258786 "7" "DOCK8"
"RPL10A.PS12" 2.3430580999962e-07 0.637249597662615 0.373 0.256 0.00456919760080258 "7" "RPL10A.PS1"
"MSN3" 2.77337679904397e-07 0.519108138047609 0.548 0.37 0.00540836209581565 "7" "MSN"
"CD274" 2.78786993008836e-07 0.58230299018844 0.119 0.025 0.00543662515066531 "7" "CD274"
"GM87303" 2.9073120214697e-07 0.643724459355926 0.381 0.232 0.00566954917306806 "7" "GM8730"
"CASP42" 2.95088076681828e-07 0.58136572840475 0.206 0.077 0.00575451258337234 "7" "CASP4"
"RPLP21" 3.13899302616669e-07 0.520788681147392 0.54 0.411 0.00612135030032766 "7" "RPLP2"
"SYNGR21" 3.22872329143583e-07 0.775471824555546 0.198 0.095 0.00629633329062901 "7" "SYNGR2"
"CDKN1A2" 3.39985220686138e-07 0.730825732901388 0.294 0.163 0.00663005178860038 "7" "CDKN1A"
"TNFAIP2" 4.06885279995151e-07 0.655064144502815 0.151 0.039 0.00793466984518545 "7" "TNFAIP2"
"ARL5C1" 4.39108688354407e-07 0.658625754244257 0.143 0.045 0.00856305853159929 "7" "ARL5C"
"IGTP1" 4.60427162046562e-07 0.618060153529378 0.151 0.038 0.00897879008707 "7" "IGTP"
"APOBEC12" 4.75210872786375e-07 0.796592195210804 0.238 0.109 0.0092670872302071 "7" "APOBEC1"
"RPL22.PS13" 5.35320130761722e-07 0.617762606579439 0.31 0.19 0.0104392778699843 "7" "RPL22.PS1"
"C130026I21RIK" 5.49484923858623e-07 0.570308458938023 0.127 0.027 0.010715505500167 "7" "C130026I21RIK"
"PRKCD2" 5.58213834640121e-07 0.627296293547088 0.294 0.133 0.010885727989317 "7" "PRKCD"
"CEBPB2" 5.902455729798e-07 0.704954308593071 0.214 0.094 0.0115103789186791 "7" "CEBPB"
"ZEB2OS2" 6.52774299536571e-07 0.494946051507107 0.198 0.075 0.0127297516152627 "7" "ZEB2OS"
"PSMA71" 6.552766584971e-07 0.351274272105741 0.698 0.527 0.012778550117352 "7" "PSMA7"
"CCL43" 6.67458932447682e-07 0.827341572630003 0.365 0.215 0.0130161166416622 "7" "CCL4"
"EMP31" 6.68846651971698e-07 0.683695866587527 0.238 0.103 0.0130431785601001 "7" "EMP3"
"TALDO12" 6.69247955742531e-07 0.641884639427536 0.31 0.196 0.0130510043849351 "7" "TALDO1"
"TXN.PS11" 6.88968091966479e-07 0.756300462747966 0.183 0.122 0.0134355667614383 "7" "TXN.PS1"
"LST12" 7.02716486040653e-07 0.61295392345574 0.214 0.081 0.0137036741942788 "7" "LST1"
"PLD42" 7.14677429680734e-07 0.240186670401784 0.373 0.205 0.013936924556204 "7" "PLD4"
"CRIP11" 1.09437800560526e-06 1.01273931889039 0.278 0.16 0.0213414654873081 "7" "CRIP1"
"GM424183" 1.15655396640779e-06 0.240888093423367 0.516 0.346 0.0225539588989183 "7" "GM42418"
"MX2" 1.17805213557709e-06 0.536603302310465 0.135 0.033 0.0229731946958889 "7" "MX2"
"GM102602" 1.20299787593363e-06 0.607396610585036 0.476 0.306 0.0234596615785818 "7" "GM10260"
"CCNL12" 1.23583123947388e-06 0.512861000648321 0.508 0.357 0.0240999450009801 "7" "CCNL1"
"CTSZ2" 1.33676195517205e-06 0.470811394466539 0.532 0.356 0.0260681948878102 "7" "CTSZ"
"PTGS2" 1.44849219911119e-06 0.600553650175957 0.127 0.03 0.0282470463748674 "7" "PTGS2"
"OSM" 1.58205887753125e-06 0.495464208651698 0.127 0.039 0.030851730170737 "7" "OSM"
"GM127911" 1.71926397887495e-06 0.584106294360468 0.183 0.076 0.0335273668520403 "7" "GM12791"
"GBP5" 1.81676300667442e-06 0.791583275834379 0.151 0.04 0.0354286953931579 "7" "GBP5"
"GM102882" 2.03411470514026e-06 0.558997252975276 0.405 0.309 0.0396672708649403 "7" "GM10288"
"GM121741" 2.25174967102126e-06 0.604311073950279 0.143 0.055 0.0439113703345856 "7" "GM12174"
"GM88221" 2.35738346901512e-06 0.468519192309204 0.19 0.078 0.0459713350292638 "7" "GM8822"
"HAVCR22" 2.43058782467492e-06 0.620310552991495 0.31 0.148 0.0473988931689855 "7" "HAVCR2"
"PRC11" 1.67420504075026e-42 2.42753947861553 0.953 0.066 3.26486724996708e-38 "8" "PRC1"
"TOP2A1" 2.13668150342646e-37 2.31566109739833 0.977 0.113 4.16674259983194e-33 "8" "TOP2A"
"CKAP21" 1.63883429513505e-33 1.55462115515411 0.837 0.041 3.19589075894286e-29 "8" "CKAP2"
"UBE2C1" 3.01593809839262e-33 1.97714742654494 0.791 0.041 5.88138088567544e-29 "8" "UBE2C"
"CDK14" 3.18845108327661e-33 1.75029700089963 0.814 0.054 6.21779845749771e-29 "8" "CDK1"
"MKI671" 7.4179552496709e-33 2.30296015023641 0.977 0.105 1.44657545323832e-28 "8" "MKI67"
"CENPE1" 1.51622530210065e-32 2.17972128907848 0.907 0.087 2.95679096162647e-28 "8" "CENPE"
"TPX21" 7.5759435078564e-32 1.91605208027421 0.86 0.066 1.47738474346708e-27 "8" "TPX2"
"CENPF1" 1.14985857756938e-31 2.26449352122007 0.884 0.082 2.24233921211805e-27 "8" "CENPF"
"SMC42" 4.33467647477197e-31 1.87817780366529 0.977 0.189 8.45305259345281e-27 "8" "SMC4"
"NDC801" 2.97076161034188e-29 1.37103621043272 0.721 0.027 5.7932822163277e-25 "8" "NDC80"
"HMMR1" 1.96916985373787e-28 1.76303215201173 0.814 0.053 3.84007813177421e-24 "8" "HMMR"
"CENPA1" 1.40895328938825e-27 1.55249912639494 0.767 0.046 2.74759980963603e-23 "8" "CENPA"
"PTTG11" 3.86794961095377e-27 1.51595578154371 0.814 0.062 7.54288853632094e-23 "8" "PTTG1"
"CDCA81" 2.42316293491955e-26 1.51540234114326 0.767 0.053 4.72541003938661e-22 "8" "CDCA8"
"NUSAP11" 4.70508085402753e-26 1.73280882231241 0.767 0.048 9.17537817343908e-22 "8" "NUSAP1"
"CCNB1" 8.05859083826848e-26 1.05786821512541 0.558 0.013 1.57150579937074e-21 "8" "CCNB1"
"CEP551" 2.17240641055584e-25 1.31785869361519 0.674 0.029 4.23640974122495e-21 "8" "CEP55"
"BIRC51" 5.03876673140886e-25 1.57616301241049 0.744 0.051 9.82609900292042e-21 "8" "BIRC5"
"KIF20B1" 1.16586880949086e-23 1.63462937131835 0.767 0.064 2.27356076538813e-19 "8" "KIF20B"
"KNSTRN2" 6.33520702698392e-23 1.39359274083822 0.605 0.028 1.23542872233214e-18 "8" "KNSTRN"
"BUB11" 1.69221401639175e-22 1.2819790452265 0.651 0.034 3.29998655336555e-18 "8" "BUB1"
"KIF151" 2.53875120607778e-22 1.46632965466478 0.721 0.046 4.95081872697228e-18 "8" "KIF15"
"KIF231" 6.39286834880638e-22 1.45794363991206 0.651 0.041 1.24667325670073e-17 "8" "KIF23"
"CCNB21" 7.12757173033392e-22 1.53343573445014 0.628 0.038 1.38994776313242e-17 "8" "CCNB2"
"MXD3" 8.15718200314718e-22 0.735139468811339 0.442 0.007 1.59073206243373e-17 "8" "MXD3"
"SMC21" 1.42251156423928e-21 1.5726368781012 0.884 0.142 2.77403980142302e-17 "8" "SMC2"
"PRR111" 2.57563202138714e-21 1.20362873284634 0.581 0.023 5.02274000490706e-17 "8" "PRR11"
"CKAP2L1" 7.56618731441702e-21 1.3126665865943 0.698 0.048 1.47548218818446e-16 "8" "CKAP2L"
"LOCKD" 1.58686609990848e-20 0.983667445383663 0.512 0.016 3.09454758143152e-16 "8" "LOCKD"
"NCAPG1" 1.69853812482647e-20 1.24436432804085 0.605 0.03 3.31231919722411e-16 "8" "NCAPG"
"TACC31" 3.12276497908672e-20 1.37646992853982 0.721 0.058 6.08970398571701e-16 "8" "TACC3"
"NUF22" 5.15222861802e-20 1.39933122996409 0.674 0.046 1.00473610280008e-15 "8" "NUF2"
"HMGB23" 5.73633597154643e-20 1.63959500323215 0.837 0.138 1.11864287781127e-15 "8" "HMGB2"
"INCENP1" 1.41066275476753e-19 1.56265285646012 0.791 0.101 2.75093343807216e-15 "8" "INCENP"
"ASPM1" 2.34576752949841e-19 1.20172345765103 0.605 0.034 4.57448125927485e-15 "8" "ASPM"
"KIF111" 4.1953681336221e-18 1.20890803437442 0.558 0.028 8.18138739737645e-14 "8" "KIF11"
"SGOL2A1" 4.99345123321659e-18 0.971490355319951 0.605 0.034 9.73772924989568e-14 "8" "SGOL2A"
"PLK11" 5.48556889835805e-18 0.74646375553801 0.465 0.015 1.0697407908688e-13 "8" "PLK1"
"KIF18A1" 6.18401890870711e-18 1.11396031243171 0.488 0.018 1.20594552738697e-13 "8" "KIF18A"
"CDC201" 9.50782750540082e-18 1.06735434676113 0.535 0.026 1.85412144182821e-13 "8" "CDC20"
"DIAPH31" 1.29264272576065e-17 1.23587447829823 0.651 0.05 2.52078257950584e-13 "8" "DIAPH3"
"2810417H13RIK1" 2.9199866268628e-17 1.35754097827912 0.721 0.069 5.69426592104515e-13 "8" "2810417H13RIK"
"KNL11" 2.96317233215445e-17 1.12371416481167 0.605 0.039 5.77848236493439e-13 "8" "KNL1"
"SPC251" 3.36364163135872e-17 1.21521266003896 0.605 0.042 6.55943754531265e-13 "8" "SPC25"
"TUBB52" 3.74709990606472e-17 1.35190529568275 0.814 0.29 7.30721952681681e-13 "8" "TUBB5"
"DLGAP51" 4.63595526155554e-17 1.22898995983916 0.512 0.026 9.04057635555947e-13 "8" "DLGAP5"
"MIS18BP11" 5.73488985926095e-17 1.31163535226305 0.558 0.033 1.11836087145448e-12 "8" "MIS18BP1"
"PBK1" 5.8237634553745e-17 1.30808149265022 0.581 0.037 1.13569211143258e-12 "8" "PBK"
"ARL6IP11" 1.33851188602475e-16 1.07708032221065 0.977 0.568 2.61023202893686e-12 "8" "ARL6IP1"
"TUBA1C1" 2.11888924985757e-16 1.25804918207385 0.674 0.07 4.13204592614724e-12 "8" "TUBA1C"
"FAM64A" 2.62438964647516e-16 0.674572700136672 0.395 0.01 5.11782224959122e-12 "8" "FAM64A"
"TUBA1B2" 4.58177654064432e-16 1.31907024258001 0.837 0.282 8.93492243191049e-12 "8" "TUBA1B"
"H2AFX1" 7.89960226805457e-16 1.08558596163144 0.558 0.039 1.54050143829332e-11 "8" "H2AFX"
"NUCKS12" 2.34881670679501e-15 1.12710066321611 0.93 0.338 4.58042745992095e-11 "8" "NUCKS1"
"CKS1B1" 4.5947937016324e-15 1.16718557885362 0.558 0.045 8.96030719755334e-11 "8" "CKS1B"
"SPC241" 1.12125667147878e-14 0.918672040520279 0.512 0.031 2.18656263505078e-10 "8" "SPC24"
"HIST1H1B1" 1.473403304262e-14 1.35264998890767 0.512 0.031 2.87328378364133e-10 "8" "HIST1H1B"
"CCNA21" 2.34382235302963e-14 0.927624716317377 0.465 0.025 4.57068797064308e-10 "8" "CCNA2"
"KIF41" 2.81826796065615e-14 0.952562530041738 0.488 0.028 5.49590435007557e-10 "8" "KIF4"
"CENPW1" 3.8629089577419e-14 0.736357584316212 0.465 0.023 7.53305875849247e-10 "8" "CENPW"
"HIST1H2AK1" 6.85079700046666e-14 1.22541667144151 0.512 0.036 1.335973923061e-09 "8" "HIST1H2AK"
"RACGAP11" 6.85264780745149e-14 0.899645777048096 0.512 0.034 1.33633484893112e-09 "8" "RACGAP1"
"AURKA1" 1.21663587568562e-13 0.581482960563348 0.372 0.012 2.37256162117452e-09 "8" "AURKA"
"GM13176" 1.38442897970385e-13 0.510182389742111 0.349 0.01 2.69977495332047e-09 "8" "GM13176"
"ANLN1" 1.45301998997787e-13 1.17811177797449 0.488 0.035 2.83353428245584e-09 "8" "ANLN"
"ANP32B3" 1.66849449821915e-13 1.22833008984871 0.884 0.352 3.25373112097716e-09 "8" "ANP32B"
"PLK41" 2.51064396106698e-13 0.936067348265826 0.488 0.033 4.89600678847672e-09 "8" "PLK4"
"KIF14" 4.83763925016285e-13 0.621417183564273 0.326 0.008 9.43388030174256e-09 "8" "KIF14"
"CDCA21" 1.09989175521479e-12 0.890629880518325 0.395 0.018 2.14489891184437e-08 "8" "CDCA2"
"ECT2" 2.89416439443912e-12 0.599154101431651 0.372 0.015 5.64390998559572e-08 "8" "ECT2"
"CDKN2D1" 3.04075488478448e-12 0.842403609118337 0.535 0.05 5.92977610081822e-08 "8" "CDKN2D"
"BUB1B1" 3.3713597542873e-12 0.605682802857742 0.349 0.012 6.57448865683566e-08 "8" "BUB1B"
"MELK1" 4.69289486756434e-12 0.697901137888469 0.372 0.016 9.15161428123723e-08 "8" "MELK"
"GM5596" 5.02544552160248e-12 0.412129112315717 0.302 0.008 9.800121311677e-08 "8" "GM5596"
"TAGLN22" 1.4771953691981e-11 1.32046377851526 0.628 0.179 2.88067868947321e-07 "8" "TAGLN2"
"CENPQ1" 2.15202934775477e-11 0.825549685615321 0.581 0.07 4.19667243105658e-07 "8" "CENPQ"
"HIST1H1E3" 2.42848293199884e-11 1.51890421698154 0.628 0.117 4.73578456569094e-07 "8" "HIST1H1E"
"CCDC343" 9.65838619345793e-11 1.09162648960954 0.767 0.149 1.88348189158623e-06 "8" "CCDC34"
"TMPO1" 9.91220804037518e-11 1.16919988578734 0.744 0.133 1.93297968995356e-06 "8" "TMPO"
"SPDL11" 1.21210050523192e-10 0.706534074527222 0.395 0.024 2.36371719525277e-06 "8" "SPDL1"
"AURKB1" 1.43495222353345e-10 0.441273093541815 0.326 0.014 2.79830033111259e-06 "8" "AURKB"
"TRIM591" 1.80294546433251e-10 0.873479790593117 0.395 0.028 3.51592394999483e-06 "8" "TRIM59"
"MAD2L11" 1.96890713499523e-10 0.659166829901582 0.395 0.024 3.8395658039542e-06 "8" "MAD2L1"
"CENPP1" 1.99714189659907e-10 0.443262066734328 0.326 0.014 3.89462641255784e-06 "8" "CENPP"
"PSRC1" 2.4854987266166e-10 0.292644007681943 0.209 0.003 4.84697106677503e-06 "8" "PSRC1"
"HJURP1" 2.92568411787156e-10 0.880170998416988 0.698 0.136 5.70537659826133e-06 "8" "HJURP"
"GM112232" 3.69680433672879e-10 1.0546787654362 0.581 0.069 7.20913813705481e-06 "8" "GM11223"
"ARHGAP11A1" 3.86539405802595e-10 0.846760783045115 0.488 0.051 7.53790495255641e-06 "8" "ARHGAP11A"
"GM140981" 1.06030604907748e-09 0.517358118734354 0.326 0.015 2.06770282630599e-05 "8" "GM14098"
"GM15452" 1.14026461310957e-09 0.642461180156571 0.302 0.012 2.22363002202497e-05 "8" "GM15452"
"G2E3" 1.31409493509786e-09 1.0304081898664 0.535 0.078 2.56261653293433e-05 "8" "G2E3"
"DBF41" 1.43463628242844e-09 0.651064321487021 0.465 0.043 2.7976842143637e-05 "8" "DBF4"
"SKA2L.PS" 1.63997283379023e-09 0.445639879538229 0.279 0.01 3.19811102317433e-05 "8" "SKA2L.PS"
"ZWILCH1" 2.30093887250621e-09 0.696030373374879 0.395 0.03 4.48706089527436e-05 "8" "ZWILCH"
"CALM24" 2.43458804898387e-09 0.842116871377099 0.837 0.467 4.74769015432345e-05 "8" "CALM2"
"GM82033" 3.53330511223878e-09 0.688159980357243 0.535 0.07 6.89029829937684e-05 "8" "GM8203"
"SKA21" 4.00127257009908e-09 0.734872301451476 0.465 0.05 7.80288163895023e-05 "8" "SKA2"
"ANXA11" 5.79939152269077e-09 1.23362951239814 0.419 0.053 0.000113093934083993 "8" "ANXA1"
"BUB31" 7.24898564218974e-09 0.816211598071688 0.628 0.103 0.000141362469008342 "8" "BUB3"
"SELENOH2" 9.44180665494075e-09 1.17721688080931 0.628 0.112 0.000184124671578 "8" "SELENOH"
"KIF2C1" 1.07450873925183e-08 0.545005134180859 0.302 0.015 0.0002095399492415 "8" "KIF2C"
"CDKN3" 1.20177755855146e-08 0.548739639035464 0.279 0.012 0.000234358641693121 "8" "CDKN3"
"SHCBP11" 1.40411882396215e-08 0.566347623140458 0.302 0.015 0.000273817211860858 "8" "SHCBP1"
"MASTL1" 1.56771808652856e-08 0.391949422567027 0.256 0.009 0.000305720704053935 "8" "MASTL"
"RRM11" 1.69577963915987e-08 0.760991012784058 0.535 0.071 0.000330693987432566 "8" "RRM1"
"CCNF" 2.04716221597456e-08 0.251121852388981 0.186 0.003 0.0003992171037372 "8" "CCNF"
"SGOL2" 2.47205728907772e-08 0.987557811859456 0.163 0.008 0.000482075891943046 "8" "SGOL2"
"LMNB11" 2.53362766132655e-08 0.723453251605241 0.535 0.07 0.00049408273023529 "8" "LMNB1"
"STMN11" 2.53478273707839e-08 0.973422999897692 0.488 0.067 0.000494307981557658 "8" "STMN1"
"C330027C09RIK1" 2.57274007213558e-08 0.828439803139874 0.395 0.036 0.00050171004146716 "8" "C330027C09RIK"
"CASC5" 3.24219013797475e-08 1.37435985484185 0.163 0.008 0.000632259498806457 "8" "CASC5"
"NUP37" 3.54973305777852e-08 0.543674128991678 0.349 0.026 0.000692233443597389 "8" "NUP37"
"STC1" 4.45987883062971e-08 1.0478652229539 0.326 0.029 0.000869720970761099 "8" "STC1"
"SEPT112" 4.61021285157694e-08 1.20816082408267 0.535 0.215 0.000899037608186019 "8" "SEPT11"
"TUBB62" 4.94931266521323e-08 0.795729181070159 0.442 0.055 0.000965165462843232 "8" "TUBB6"
"2700099C18RIK1" 6.36442888380807e-08 0.589236326613218 0.326 0.022 0.00124112727663141 "8" "2700099C18RIK"
"BORA" 7.08684699684508e-08 0.485206433698777 0.302 0.02 0.00138200603285476 "8" "BORA"
"RAD211" 8.58063194907986e-08 0.877448227513001 0.767 0.208 0.00167330903639006 "8" "RAD21"
"ANP32E2" 1.0044027464352e-07 0.911204582939885 0.791 0.265 0.00195868579582329 "8" "ANP32E"
"TYMS2" 1.35165410750765e-07 0.82939693098816 0.512 0.066 0.00263586067505067 "8" "TYMS"
"SKA31" 1.52627598885984e-07 0.325928388195407 0.233 0.009 0.00297639080587558 "8" "SKA3"
"CKAP51" 1.57223102755461e-07 1.08158550844589 0.698 0.204 0.00306600772683424 "8" "CKAP5"
"KIF221" 1.58130860182674e-07 0.547175205851592 0.302 0.02 0.00308370990442233 "8" "KIF22"
"LOXL2" 1.58324144805315e-07 1.13317982259251 0.372 0.035 0.00308747914784844 "8" "LOXL2"
"TNNT2" 1.69192174049436e-07 1.05713435727842 0.256 0.018 0.00329941658613806 "8" "TNNT2"
"HMGN53" 1.91289628419631e-07 0.845230499924616 0.698 0.147 0.00373033904381122 "8" "HMGN5"
"MGP" 1.94187338369431e-07 2.07188202835467 0.279 0.087 0.00378684728554227 "8" "MGP"
"SGOL11" 2.23129092843915e-07 0.41678081346337 0.279 0.016 0.00435124043954919 "8" "SGOL1"
"TK11" 2.30721065234444e-07 0.695053238397402 0.326 0.023 0.00449929149313688 "8" "TK1"
"FKBP101" 2.33548862745312e-07 0.312294512073779 0.302 0.021 0.00455443637239633 "8" "FKBP10"
"TRIP131" 2.58124401499165e-07 0.599206619364278 0.279 0.017 0.00503368395363522 "8" "TRIP13"
"SLC43A32" 3.19207146151575e-07 0.547334288711841 0.395 0.039 0.00622485855710186 "8" "SLC43A3"
"CDCA31" 3.86479256534669e-07 0.540577335246854 0.279 0.016 0.00753673198168259 "8" "CDCA3"
"RANGAP11" 3.86501754379941e-07 0.923998937495606 0.535 0.083 0.00753717071216323 "8" "RANGAP1"
"GSG21" 4.07019588817283e-07 0.457265002591536 0.256 0.016 0.00793728900152584 "8" "GSG2"
"PTMA3" 4.16588905324989e-07 0.802945130461469 0.884 0.528 0.00812390024274262 "8" "PTMA"
"RP24.232I9.21" 5.08746292012177e-07 0.430936731803357 0.279 0.017 0.00992106144052946 "8" "RP24.232I9.2"
"HIRIP32" 5.37933493370905e-07 0.855381930315746 0.628 0.129 0.010490241054226 "8" "HIRIP3"
"NEIL31" 7.57975019091062e-07 0.456911718621027 0.233 0.011 0.0147812708472948 "8" "NEIL3"
"EMP11" 7.69474440417856e-07 0.441524045659037 0.302 0.023 0.0150055210625886 "8" "EMP1"
"CDKN2C1" 8.16367745364223e-07 0.358613945304485 0.279 0.022 0.0159199874023477 "8" "CDKN2C"
"KIF20A1" 8.78516551070846e-07 0.447570359241998 0.209 0.009 0.0171319512624326 "8" "KIF20A"
"FBXO51" 9.25438857605718e-07 0.710462585916494 0.349 0.034 0.0180469831621691 "8" "FBXO5"
"GAS2L31" 1.00533943548014e-06 0.692862659150803 0.372 0.039 0.0196051243312982 "8" "GAS2L3"
"LSM22" 1.2712378006007e-06 0.395807469676197 0.419 0.06 0.0247904083495143 "8" "LSM2"
"CIT" 1.30512935479475e-06 0.664085037935202 0.372 0.05 0.0254513275478525 "8" "CIT"
"LGALS13" 1.56269467764699e-06 1.37599484000488 0.419 0.183 0.0304741089087939 "8" "LGALS1"
"PPIC1" 1.63325967808071e-06 0.817790649242972 0.465 0.076 0.0318501969822519 "8" "PPIC"
"RAN2" 2.19459856493237e-06 0.868806188808441 0.721 0.252 0.0427968666147462 "8" "RAN"
"CKS2" 2.21399371586688e-06 0.397279184907158 0.233 0.014 0.0431750914531201 "8" "CKS2"
"ANP32B.PS13" 2.28109868935353e-06 0.813742277020742 0.651 0.129 0.0444837055410833 "8" "ANP32B.PS1"
"4933404O12RIK" 2.40330987725779e-06 0.325595988225847 0.186 0.007 0.0468669459164041 "8" "4933404O12RIK"
"DEPDC1A" 2.49808601454109e-06 0.224722298816185 0.163 0.004 0.0487151753695658 "8" "DEPDC1A"
"CD248" 2.54043008794077e-06 0.850388727800308 0.326 0.032 0.049540927144933 "8" "CD248"
"RGS52" 6.67848590185103e-108 3.54764415441329 1 0.111 1.30237153571997e-103 "9" "RGS5"
"MGP1" 8.8259925545731e-99 3.45109983322501 0.976 0.07 1.7211568080673e-94 "9" "MGP"
"CALD13" 3.4897576236927e-95 2.71630661504514 1 0.171 6.80537634196313e-91 "9" "CALD1"
"ASPN" 2.08765277731949e-81 2.16240157952831 0.892 0.037 4.07113168105075e-77 "9" "ASPN"
"MYLK" 1.35180548343864e-71 2.0608953380731 0.892 0.06 2.6361558732537e-67 "9" "MYLK"
"GJC12" 2.07764558581632e-71 2.05316958963089 0.916 0.065 4.05161665690041e-67 "9" "GJC1"
"LOXL21" 1.09769416731238e-69 2.01138675848557 0.723 0.024 2.14061339567587e-65 "9" "LOXL2"
"CD2481" 1.52323272936221e-69 1.67188968162243 0.747 0.02 2.97045614552924e-65 "9" "CD248"
"ITGA12" 1.36389509192379e-68 1.92727853051166 0.952 0.082 2.65973181876059e-64 "9" "ITGA1"
"FSTL11" 1.05911138182158e-65 2.06613916805499 0.867 0.071 2.06537310569025e-61 "9" "FSTL1"
"BGN2" 1.30608455265768e-65 1.89582375543237 0.843 0.049 2.54699548613775e-61 "9" "BGN"
"S100A112" 3.73409291794395e-65 2.03635338969662 0.928 0.11 7.2818545992825e-61 "9" "S100A11"
"KCNJ81" 6.20788005048167e-64 1.96422079922649 0.711 0.02 1.21059868864443e-59 "9" "KCNJ8"
"HIGD1B" 1.20877104883947e-61 1.96600990396528 0.747 0.03 2.35722442234185e-57 "9" "HIGD1B"
"COL3A11" 3.80028325208894e-60 2.13176164350714 0.735 0.03 7.41093236989864e-56 "9" "COL3A1"
"NDUFA4L21" 9.32853847883895e-60 1.45447384057894 0.687 0.021 1.81915828875838e-55 "9" "NDUFA4L2"
"COL4A22" 3.64095324067188e-59 2.18363346989495 0.928 0.137 7.10022291463424e-55 "9" "COL4A2"
"COL4A12" 4.23796418441324e-59 2.01146946329484 0.964 0.141 8.26445395602426e-55 "9" "COL4A1"
"IGFBP72" 1.04720897053494e-58 2.1997198761004 1 0.22 2.04216221344018e-54 "9" "IGFBP7"
"MYL92" 5.55102616742232e-57 1.68831314039912 0.795 0.045 1.08250561290903e-52 "9" "MYL9"
"PDLIM12" 6.02588784001219e-57 1.61362489858931 0.759 0.04 1.17510838768078e-52 "9" "PDLIM1"
"VTN" 1.05539092420458e-56 2.40237401085031 0.807 0.054 2.05811784129135e-52 "9" "VTN"
"TPM2" 1.15988595418883e-56 1.85515413874279 0.783 0.045 2.26189359926364e-52 "9" "TPM2"
"GUCY1B31" 3.17179711267942e-56 1.70889577866071 0.819 0.06 6.18532154943614e-52 "9" "GUCY1B3"
"CRIP13" 3.91914648248443e-54 2.09623478509337 0.904 0.148 7.64272755549289e-50 "9" "CRIP1"
"ABCC9" 9.58595906810821e-54 1.54498697903821 0.675 0.026 1.86935787787178e-49 "9" "ABCC9"
"GUCY1A3" 2.13064225581246e-52 1.509727125223 0.795 0.06 4.15496546305988e-48 "9" "GUCY1A3"
"TRPC61" 3.44976207844666e-52 1.28118310687159 0.542 0.01 6.72738102917884e-48 "9" "TRPC6"
"PDGFRB" 8.0789175079669e-52 1.31315056985654 0.735 0.04 1.57546970322863e-47 "9" "PDGFRB"
"ACTA22" 2.25734347558018e-50 2.13635124196378 0.723 0.045 4.40204551172892e-46 "9" "ACTA2"
"ITGB12" 4.0901371559795e-50 1.43324354126703 1 0.466 7.97617646787562e-46 "9" "ITGB1"
"SEPT113" 5.29228631178303e-50 1.77899819834276 0.952 0.202 1.03204875366081e-45 "9" "SEPT11"
"SEPT42" 1.91774589244695e-49 1.70405810234377 0.904 0.116 3.73979626486079e-45 "9" "SEPT4"
